                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.86296,                0.44574,                 1.0712,                0.98756,                0.98012,                 0.9886,                0.56724,                 1.7811,                0.51999,                  1.952,               0.000812,               0.000812,               0.000812
                     63,                 0.8356,                 0.5127,                  1.047,                0.95161,                0.98148,                0.97691,                0.59576,                 1.7213,                0.52674,                 1.9027,              0.0007922,              0.0007922,              0.0007922
                     64,                0.83629,                0.42494,                 1.0633,                0.96219,                0.99383,                0.98401,                0.59452,                 1.7351,                0.53027,                 1.8906,              0.0007724,              0.0007724,              0.0007724
                     65,                0.83734,                0.41493,                 1.0525,                0.95606,                0.96296,                 0.9584,                0.58099,                 1.7676,                0.56046,                  1.898,              0.0007526,              0.0007526,              0.0007526
                     66,                0.82392,                0.42237,                 1.0466,                 0.9757,                0.99152,                0.99001,                0.59469,                 1.7669,                0.54703,                 1.9279,              0.0007328,              0.0007328,              0.0007328
                     67,                0.83004,                0.40851,                 1.0471,                0.93943,                0.96914,                 0.9709,                0.57464,                 1.7733,                0.58635,                 2.0237,               0.000713,               0.000713,               0.000713
                     68,                0.82061,                0.42497,                 1.0462,                0.97541,                0.97948,                0.98274,                0.59595,                 1.7525,                0.55189,                  1.921,              0.0006932,              0.0006932,              0.0006932
                     69,                0.82508,                0.41906,                  1.062,                0.96336,                0.98148,                0.98242,                0.59413,                 1.8232,                0.59913,                  2.023,              0.0006734,              0.0006734,              0.0006734
                     70,                0.81197,                0.41649,                 1.0492,                0.96775,                0.99383,                0.98816,                0.60345,                 1.8241,                0.59874,                 2.0709,              0.0006536,              0.0006536,              0.0006536
                     71,                0.80664,                0.40411,                 1.0476,                0.96403,                0.99252,                0.98485,                 0.6027,                 1.6944,                0.54512,                  1.825,              0.0006338,              0.0006338,              0.0006338
                     72,                0.79965,                0.40285,                 1.0376,                0.97517,                0.98765,                0.98933,                0.57221,                 1.8098,                0.56682,                 1.9687,               0.000614,               0.000614,               0.000614
                     73,                0.77138,                0.39289,                 1.0266,                0.98167,                0.99383,                0.98553,                0.59878,                 1.7439,                0.52944,                 1.8745,              0.0005942,              0.0005942,              0.0005942
                     74,                0.76597,                0.39362,                 1.0326,                0.96312,                0.96732,                 0.9642,                0.56291,                 1.8166,                0.58656,                 2.0507,              0.0005744,              0.0005744,              0.0005744
                     75,                0.78848,                0.38292,                 1.0448,                0.96402,                0.99241,                0.98362,                0.57902,                 1.7665,                0.55067,                 1.9557,              0.0005546,              0.0005546,              0.0005546
                     76,                0.77417,                 0.3844,                 1.0254,                0.97495,                0.96092,                0.98119,                0.59002,                 1.7291,                0.55109,                 1.9166,              0.0005348,              0.0005348,              0.0005348
                     77,                0.76374,                0.39274,                 1.0182,                0.96934,                0.98148,                0.98216,                0.58407,                 1.7579,                  0.564,                 2.0092,               0.000515,               0.000515,               0.000515
                     78,                0.76939,                0.40138,                 1.0233,                 0.9681,                0.98765,                0.98235,                 0.5867,                 1.7666,                0.54678,                 2.0247,              0.0004952,              0.0004952,              0.0004952
                     79,                0.71272,                0.36209,                0.99914,                0.96943,                      1,                0.98646,                0.57996,                 1.8008,                0.55221,                 2.0429,              0.0004754,              0.0004754,              0.0004754
                     80,                0.77131,                0.38636,                  1.027,                0.97503,                0.98148,                0.98107,                0.58985,                  1.797,                0.55351,                 2.0396,              0.0004556,              0.0004556,              0.0004556
                     81,                0.72469,                0.37144,                 1.0064,                0.96363,                 0.9813,                0.98109,                0.59585,                 1.7769,                0.55224,                 1.9546,              0.0004358,              0.0004358,              0.0004358
                     82,                0.76119,                0.39065,                 1.0368,                 0.9671,                0.98148,                0.97832,                0.58266,                 1.7665,                0.56056,                 1.9718,               0.000416,               0.000416,               0.000416
