                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.8529,                0.59933,                  1.131,                0.81425,                0.78947,                0.86087,                0.57458,                 1.4579,                 1.0335,                 1.5391,              0.0010496,              0.0010496,              0.0010496
                     51,                0.92365,                0.60129,                 1.1712,                0.85996,                0.68421,                0.84831,                0.55638,                 1.4158,                0.95682,                 1.5602,              0.0010298,              0.0010298,              0.0010298
                     52,                0.89223,                0.55727,                 1.1712,                0.92937,                0.84211,                0.92259,                0.56808,                 1.4963,                0.85715,                 1.5386,                0.00101,                0.00101,                0.00101
                     53,                0.87369,                0.53353,                 1.1394,                0.93789,                0.84211,                0.95759,                0.57488,                 1.4894,                0.81415,                 1.4894,              0.0009902,              0.0009902,              0.0009902
                     54,                 0.8778,                0.57708,                 1.1366,                0.94631,                0.92832,                0.97404,                0.60645,                 1.4185,                0.73805,                 1.4585,              0.0009704,              0.0009704,              0.0009704
                     55,                0.88851,                0.52467,                 1.1271,                0.98703,                0.73684,                0.89296,                0.51461,                 1.5856,                0.98657,                 1.6815,              0.0009506,              0.0009506,              0.0009506
                     56,                0.81697,                0.53765,                 1.1171,                0.84579,                0.68421,                0.80533,                0.44136,                 1.6448,                  1.238,                 1.7693,              0.0009308,              0.0009308,              0.0009308
                     57,                0.84703,                 0.5694,                 1.1387,                0.94118,                0.84218,                0.94437,                   0.53,                 1.5426,                0.89016,                 1.6562,               0.000911,               0.000911,               0.000911
                     58,                 0.8471,                0.53881,                 1.1191,                0.99596,                0.94737,                  0.983,                 0.5219,                 1.6037,                0.83694,                 1.6876,              0.0008912,              0.0008912,              0.0008912
                     59,                0.85303,                0.56842,                 1.1263,                0.99531,                0.94737,                0.95877,                0.54682,                 1.4845,                0.68604,                 1.5743,              0.0008714,              0.0008714,              0.0008714
                     60,                0.82625,                0.52258,                  1.115,                      1,                0.94562,                0.94958,                0.56418,                 1.4964,                0.65989,                 1.5258,              0.0008516,              0.0008516,              0.0008516
                     61,                0.77167,                0.49839,                 1.0766,                0.99716,                0.94737,                0.94942,                0.55181,                  1.521,                0.68076,                 1.5474,              0.0008318,              0.0008318,              0.0008318
                     62,                0.78036,                0.52024,                 1.1034,                0.99106,                0.94737,                0.96659,                0.58601,                 1.4446,                 0.6711,                 1.5082,               0.000812,               0.000812,               0.000812
                     63,                0.72493,                0.48273,                 1.0285,                      1,                0.94247,                0.98019,                0.60386,                 1.4157,                 0.6615,                 1.4878,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.7408,                0.49207,                 1.0596,                0.99656,                0.94737,                 0.9925,                 0.6045,                 1.4054,                0.59064,                 1.5037,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.7224,                  0.449,                 1.0557,                      1,                0.99548,                  0.995,                0.58464,                 1.4104,                0.58702,                   1.52,              0.0007526,              0.0007526,              0.0007526
                     66,                0.71108,                0.44132,                 1.0611,                      1,                0.99471,                  0.995,                0.57976,                 1.4859,                0.60823,                 1.5886,              0.0007328,              0.0007328,              0.0007328
